"filename", "language", "XML", "CSS", "TypeScript", "TypeScript JSX", "JSON with Comments", "Dotenv", "JSON", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/PartnersTable.tsx", "TypeScript JSX", 0, 0, 0, 191, 0, 0, 0, 0, 0, 0, 9, 13, 213
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/SuspendPartnerModal.tsx", "TypeScript JSX", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 6, 56
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/data/api/partnerApiService.ts", "TypeScript", 0, 0, 297, 0, 0, 0, 0, 0, 0, 0, 0, 47, 344
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/data/mockPartners.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/data/repositories/partnerRepositoryImpl.ts", "TypeScript", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 12, 78
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/domain/entities/partner.entity.ts", "TypeScript", 0, 0, 215, 0, 0, 0, 0, 0, 0, 0, 0, 27, 242
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/domain/repositories/partner.repository.ts", "TypeScript", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 9, 57
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/pages/PartnersPage.tsx", "TypeScript JSX", 0, 0, 0, 881, 0, 0, 0, 0, 0, 0, 39, 104, 1024
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/presentation/hooks/usePartners.ts", "TypeScript", 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 4, 20, 155
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/types/partner.types.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/profile/components/ChangePasswordForm.tsx", "TypeScript JSX", 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 4, 12, 113
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/profile/components/PersonalInfoForm.tsx", "TypeScript JSX", 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 7, 14, 133
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/profile/components/ProfileHeroCard.tsx", "TypeScript JSX", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 2, 5, 56
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/profile/pages/ProfilePage.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 4, 20
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/settings/pages/SettingsPage.tsx", "TypeScript JSX", 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 4, 5, 116
"/Users/omarragab/Projects/zalameh_dashboard_app/src/index.css", "CSS", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/omarragab/Projects/zalameh_dashboard_app/src/main.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/omarragab/Projects/zalameh_dashboard_app/tests/categories.integration.test.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 703, 0, 77, 780
"/Users/omarragab/Projects/zalameh_dashboard_app/tsconfig.app.json", "JSON", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 3, 27
"/Users/omarragab/Projects/zalameh_dashboard_app/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/omarragab/Projects/zalameh_dashboard_app/tsconfig.node.json", "JSON", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"/Users/omarragab/Projects/zalameh_dashboard_app/vercel.json", "JSON", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 17
"/Users/omarragab/Projects/zalameh_dashboard_app/vite.config.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 3, 19
"Total", "-", 1310, 7, 2807, 15251, 7, 1, 2176, 23, 18, 703, 752, 1683, 24738
